year,title,publisher
2010,Red Dead Redemption,Rockstar Games
2011,The Elder Scrolls V: Skyrim,Bethesda Softworks
2012,The Walking Dead,Telltale Games
2013,Grand Theft Auto V,Rockstar Games
2014,Dragon Age: Inquisition,Electronic Arts
2015,The Witcher 3: Wild Hunt,CD Projekt
2016,Overwatch,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Nintendo
2018,God of War,Sony Interactive Entertainment
2019,Sekiro: Shadows Die Twice,Activision
2020,The Last of Us Part II,Sony Interactive Entertainment
2021,It Takes Two,Electronic Arts (EA Originals)
2022,Elden Ring,Bandai Namco Entertainment
2023,Baldur's Gate 3,Larian Studios
2024,Astro Bot,Sony Interactive Entertainment
